Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,season_end,position,off_score,def_score,score,label_off,label_def,label_overall,label
12510,DeAndre Jordan,DEN,34.0,210.82,120.20188,Texas A&M,USA,2008,2,35,39,5.1,5.2,0.9,-8.4,0.094,0.252,0.134,0.731,0.084,2022-23,2023,C,-0.11104756893732222,1.776744729744065,0.8328485804033714,0,1,1,1
12175,Keifer Sykes,IND,28.0,180.34,75.749864,Wisc.-Green Bay,USA,Undrafted,Undrafted,Undrafted,32,5.6,1.4,1.9,-4.5,0.0139999999999999,0.069,0.174,0.456,0.162,2021-22,2022,PG,-0.4266330138619262,-1.5252036964200315,-0.9759183551409789,0,0,0,0
11924,Daniel Oturu,TOR,22.0,203.2,108.86208,Minnesota,USA,2020,2,33,3,3.0,1.7,0.0,-36.8,0.036,0.148,0.125,0.5489999999999999,0.0,2021-22,2022,SF,-0.7597457508936385,0.410511715483572,-0.17461701770503324,0,0,0,0
12391,Udoka Azubuike,UTA,23.0,210.82,122.46984,Kansas,Nigeria,2020,1,27,36,3.5,3.3,0.3,-11.7,0.0819999999999999,0.2239999999999999,0.113,0.774,0.043,2022-23,2023,C,-0.2715311183352397,1.5594812684198764,0.6439750750423183,0,1,1,1
11990,Ben McLemore,POR,29.0,190.5,88.45044,Kansas,USA,2013,1,7,64,10.2,1.6,0.9,-13.1,0.009,0.072,0.207,0.5670000000000001,0.077,2021-22,2022,SG,-0.09652529873058399,-0.9969210285310972,-0.5467231636308406,0,0,0,0
10543,Jordan Loyd,TOR,25.0,193.04,95.25432,,USA,Undrafted,Undrafted,Undrafted,12,2.4,0.8,0.5,-15.7,0.017,0.133,0.159,0.635,0.182,2018-19,2019,SG,-0.5387169382527164,-0.24461423764413573,-0.39166558794842604,0,0,0,0
11524,Patrick McCaw,TOR,25.0,200.66,82.10015200000001,UNLV,USA,2016,2,38,5,1.0,0.6,0.8,-33.0,0.027,0.071,0.026,1.078,0.19,2020-21,2021,SF,-0.05583582327945036,-0.8474477772695432,-0.4516418002744968,0,0,0,0
12696,Kelly Olynyk,UTA,32.0,210.82,108.86208,Gonzaga,Canada,2013,1,13,68,12.5,6.2,3.7,0.4,0.042,0.1639999999999999,0.176,0.643,0.173,2022-23,2023,C,0.5724145917257741,0.7624285576061105,0.6674215746659423,1,0,1,1
12732,Lauri Markkanen,UTA,26.0,213.36,108.86208,Arizona,Finland,2017,1,7,66,25.6,8.6,1.9,3.8,0.055,0.183,0.259,0.6409999999999999,0.086,2022-23,2023,C,1.163511450136879,1.0056493363094066,1.0845803932231428,1,1,1,1
12626,D'Angelo Russell,LAL,27.0,193.04,87.543256,Ohio State,USA,2015,1,2,71,17.8,3.0,6.2,1.5,0.016,0.075,0.225,0.605,0.2739999999999999,2022-23,2023,SG,1.2282852010457812,-0.9173967539921709,0.15544422352680515,1,0,0,0
12455,Tobias Harris,PHI,30.0,200.66,102.511792,Tennessee,USA,2011,1,19,74,14.7,5.7,2.5,5.5,0.03,0.15,0.18,0.602,0.114,2022-23,2023,SF,0.4295606070901142,0.2467849369057205,0.33817277199791734,0,0,0,0
12571,Ben Simmons,BKN,26.0,208.28,108.86208,Louisiana State,Australia,2016,1,1,42,6.9,6.3,6.1,2.1,0.04,0.186,0.142,0.5589999999999999,0.295,2022-23,2023,PF,0.43617464183539256,0.8969532728901617,0.6665639573627771,0,1,1,1
10777,Justin Wright-Foreman,UTA,22.0,182.88,86.18248,Hofstra,USA,2019,2,53,4,4.8,1.3,1.8,-32.5,0.0,0.125,0.225,0.437,0.292,2019-20,2020,PG,-0.4452413463757877,-0.7538289153421043,-0.599535130858946,0,0,0,0
10890,Devon Hall,OKC,24.0,195.58,97.52228,Virginia,USA,2018,2,53,11,1.8,0.6,1.2,3.8,0.019,0.06,0.182,0.298,0.217,2019-20,2020,SG,-0.9790864627005589,-0.808308423074542,-0.8936974428875504,0,0,0,0
12326,Paolo Banchero,ORL,20.0,208.28,113.398,Duke,USA,2022,1,1,72,20.0,6.9,3.7,-4.2,0.035,0.174,0.272,0.529,0.171,2022-23,2023,PF,0.9475879350021569,0.8678117584233267,0.9076998467127417,1,1,1,1
11818,Jamorko Pickett,DET,24.0,205.74,93.439952,Georgetown,USA,Undrafted,Undrafted,Undrafted,13,3.8,2.5,0.5,0.3,0.032,0.141,0.133,0.491,0.057,2021-22,2022,PF,-0.7276775167056436,0.13736488731667557,-0.295156314694484,0,0,0,0
12579,Bojan Bogdanovic,DET,34.0,200.66,102.511792,,Croatia,2011,2,31,59,21.6,3.8,2.6,-8.2,0.018,0.099,0.251,0.627,0.133,2022-23,2023,SF,0.9669735316954968,-0.22309360439561055,0.37193996364994314,1,0,0,0
12674,Klay Thompson,GSW,33.0,198.12,99.79024,Washington State,USA,2011,1,11,69,21.9,4.1,2.4,2.9,0.017,0.1009999999999999,0.256,0.5760000000000001,0.105,2022-23,2023,SF,0.8754120395649484,-0.32168586912550373,0.27686308521972236,1,0,0,0
12467,Taurean Prince,MIN,29.0,198.12,98.883056,Baylor,USA,2016,1,12,54,9.1,2.4,1.6,0.9,0.013,0.096,0.165,0.597,0.094,2022-23,2023,SF,-0.06784638021608644,-0.3840360212444858,-0.22594120073028612,0,0,0,0
12556,Fred VanVleet,TOR,29.0,182.88,89.357624,Wichita State,USA,Undrafted,Undrafted,Undrafted,69,19.3,4.1,7.2,3.3,0.011,0.11,0.225,0.54,0.276,2022-23,2023,PG,1.3473479355094153,-0.8350357866961197,0.25615607440664784,1,0,0,0
10252,Brandon Sampson,CHI,22.0,195.58,83.46092800000001,,USA,Undrafted,Undrafted,Undrafted,14,5.1,1.1,0.7,-6.0,0.0139999999999999,0.063,0.154,0.5670000000000001,0.063,2018-19,2019,SG,-0.4886764132398891,-1.0330647500411878,-0.7608705816405384,0,0,0,0
